id;name;used
1676827;Bus 14A: Reumannplatz => Neubaugasse;
1688573;Bus 463: Fürstenfeld Grazer Platz => Gleisdorf Busbahnhof;
1688574;Bus 463: Gleisdorf Bahnhof => Fürstenfeld Grazer Platz;
1691570;Bus 675: Linz - Wilhering - Schönering - Reith;
1691666;Bus 675: Schönering - Reith - Wilhering - Linz;
1693793;Bus 676: Linz - Wilhering - Dörnbach-Hitzing;
1693898;Bus 676: Dörnbach-Hitzing - Wilhering - Linz;
1695906;Bus 720: Bludenz => Stuben;
1695907;Bus 720: Stuben => Bludenz;
1701081;Bus 671: Wilhering - Alkoven - Aschach;
1705004;Bus 625: Thurnharting => Pasching => Traun Stadtfriedhof Linz;
1707069;Bus 550: Sportgastein => St. Johann i.P.;
1707070;Bus 550: St. Johann i.P. => Sportgastein;
1720050;Bus 2: Kufstein Trautweinstraße => Kufstein Endach;
1732055;Bus 390: Tegernsee, Bahnhof => Rottach-Egern => Wildbad Kreuth => Achensee => Pertisau, Karwendellift;
1733596;Bus 625: Pasching Oberhaidstraße => Pasching => Thurnharting;
1733640;Bus 601: Traun Trauner Kreuzung => Flughafen Linz => Linz Hauptbahnhof;
1734557;Bus 601: Linz Hauptbahnhof => Flughafen Linz => Traun Trauner Kreuzung;
1734615;Bus 616: Marchtrenk - Pucking - Traun;
1734677;Bus 618: Linz => Traun => Rutzing;
1735979;Bus 618: Rutzing => Traun => Linz;
1737573;Bus 610: Traun => Haid;
1737600;Bus 610: Haid => Traun;
1748720;Bus 930: Liezen Busbahnhof => Wald am Schoberpaß Volksschule;
1748721;Bus 931: Liezen Busbahnhof => Rottenmann Landeskrankenhaus;
1748722;Bus 930: Liezen Busbahnhof => Kalwang Unfallkrankenhaus;
1748723;Bus 930: Treglwang Ort => Liezen Busbahnhof;
1748724;Bus 930: Kalwang Unfallkrankenhaus => Trieben Busbahnhof;
1748755;Bus 612: Linz => St. Martin => Traun;
1753117;Bus 612: Traun => St. Martin => Linz;
1753717;"Bus 48: Thal/Kötschberg => Gösting (via Thaler See; Werktag)";
1756983;Bus 620: Saalfelden => Dienten a.Hkg.;
1759283;Bus 9A: Meidling Hauptstraße => Bahnhof Meidling, Eichenstraße;
1764059;Bus 702: Köflach Bahnhof => Voitsberg Bahnhof;
1765157;Bus 602: Leibnitz Wagnastraße/Schulzentrum => Leitersdorf Abzweigung;
1765161;501 Innsbruck Hbf – Hall;
1765162;502 Innsbruck Hbf – Eichat;
1765279;Bus 560: Innsbruck Hauptbahnhof J => Steinach a. Br. Bahnhof A;
1765338;Bus 4145: Schönberg i. St. Gemeindeamt => Obernberg a. Br. Gh Waldesruh;
1765384;Bus 4144: Steinach a. Br. Bahnhof B => Schmirn Kasern;
1765411;Bus 4146: Steinach a. Br. Bahnhof B => Gschnitz Gh Feuerstein;
1766039;Bus 635: Werndorf Bahnhof => Werndorf Terminal D;
1766040;Bus 635: Werndorf Terminal D => Werndorf Bahnhof;
1766308;Bus 509: Neu-Rum Steinbockallee => Rum Sanatorium;
1766396;Bus 210: Nauders Unterdorf => Landeck-Zams Bahnhof D;
1766439;240 Landeck – Fließ;
1766440;230 Ried i. O. – Kaunertal;
1766441;220 Landeck – Serfaus;
1766506;Bus 210: Landeck-Zams Bahnhof D => Nauders Mühle;
1771440;Bus 650: Wettmannstätten Bahnhof => Graz Österreichische Gesundheitskasse;
1772969;Bus 351: Heerbrugg → Dornbirn;
1772970;Bus 351: Dornbirn → Heerbrugg;
1772971;Bus 161: Lustenau => Dornbirn;
1772972;Bus 161: Dornbirn => Lustenau;
1781288;Bus 469: Völs West => Mils Planitz;
1784510;Bus 650: Schwaz EKZ Interspar => Innsbruck Hauptbahnhof J;
1786354;VVT Linie 8365;
1788766;Bus N1: Innsbruck Baggersee => Sieglanger;
1799477;Bus 46A: Ottakring => Wilhelminenberg;
1799478;Bus 46A: Wilhelminenberg => Ottakring;
1799479;Bus 46B: Ottakring => Wilhelminenberg;
1799480;Bus 46B: Wilhelminenberg => Ottakring;
1800615;Bus 45A: Liebhartstal => Ottakring;
1800616;Bus 45A: Ottakring => Liebhartstal;
1811645;Bus 12A: Eichenstraße => Schmelz, Gablenzgasse;
1820095;Bus N3: Innsbruck Gumpstraße => Rehgasse;
1820200;Bus N7: Igls => Innsbruck Nordkette;
1820210;Bus N8: Innsbruck Hauptbahnhof => Kranebitten;
1847993;Bus 680: Zell am See => Hinterglemm;
1847994;Skibus 4;
1849121;Bus 71: Stadtverkehr Zell am See;
1852094;Bus 660: Zell am See => Kaprun;
1852115;Bus 670: Zell am See => Krimml;
